cenario,tamanho_label,n,algoritmo,repeticao,tempo_s,comparacoes,trocas,ordenado,status
muitos repetidos,grande,50000,Insertion Sort,2,172.308625,561372959,561322961,1,ok
muitos repetidos,grande,50000,Selection Sort,2,225.056565,1249975000,45014,1,ok
muitos repetidos,grande,50000,Shell Sort,2,0.183169,632205,194126,1,ok
muitos repetidos,grande,50000,Merge Sort,2,0.287861,709121,736960,1,ok
muitos repetidos,grande,50000,Quick Sort,2,0.075597,170098,120088,1,ok
muitos repetidos,grande,50000,Radix Sort,2,0.149491,49999,650000,1,ok
muitos repetidos,grande,50000,Insertion Sort,3,167.340989,561167800,561117803,1,ok
muitos repetidos,grande,50000,Selection Sort,3,224.938408,1249975000,45013,1,ok
muitos repetidos,grande,50000,Shell Sort,3,0.159784,624475,186459,1,ok
muitos repetidos,grande,50000,Merge Sort,3,0.307031,709180,737312,1,ok
muitos repetidos,grande,50000,Quick Sort,3,0.067247,154915,104905,1,ok
muitos repetidos,grande,50000,Radix Sort,3,0.149142,49999,650000,1,ok
longa,media,10000,Insertion Sort,1,7.457472,25065145,25055153,1,ok
longa,media,10000,Selection Sort,1,8.885035,49995000,9994,1,ok
longa,media,10000,Shell Sort,1,0.067413,234683,163772,1,ok
longa,media,10000,Merge Sort,1,0.052601,123693,133746,1,ok
longa,media,10000,Quick Sort,1,0.068608,145840,137516,1,ok
longa,media,10000,Radix Sort,1,0.029353,9999,130000,1,ok
longa,media,10000,Insertion Sort,2,7.368847,24833549,24823560,1,ok
longa,media,10000,Selection Sort,2,8.912683,49995000,9995,1,ok
longa,media,10000,Shell Sort,2,0.071043,245062,174154,1,ok
longa,media,10000,Merge Sort,2,0.058181,123675,133672,1,ok
longa,media,10000,Quick Sort,2,0.068880,145805,137499,1,ok
longa,media,10000,Radix Sort,2,0.029758,9999,130000,1,ok
longa,media,10000,Insertion Sort,3,7.444468,24996065,24986074,1,ok
longa,media,10000,Selection Sort,3,8.895873,49995000,9985,1,ok
longa,media,10000,Shell Sort,3,0.066475,231412,160546,1,ok
longa,media,10000,Merge Sort,3,0.057390,123789,133718,1,ok
longa,media,10000,Quick Sort,3,0.068080,143229,134937,1,ok
longa,media,10000,Radix Sort,3,0.029470,9999,130000,1,ok
longa,grande,50000,Insertion Sort,1,189.158568,625589490,625539505,1,ok
longa,grande,50000,Selection Sort,1,224.783931,1249975000,49988,1,ok
longa,grande,50000,Shell Sort,1,0.515108,1709983,1277220,1,ok
longa,grande,50000,Merge Sort,1,0.321870,733320,768519,1,ok
longa,grande,50000,Quick Sort,1,0.450707,910876,869113,1,ok
longa,grande,50000,Radix Sort,1,0.152839,49999,650000,1,ok
longa,grande,50000,Insertion Sort,2,189.745787,624601737,624551750,1,ok
longa,grande,50000,Selection Sort,2,225.208598,1249975000,49990,1,ok
longa,grande,50000,Shell Sort,2,0.509825,1731852,1298926,1,ok
longa,grande,50000,Merge Sort,2,0.304736,733205,768162,1,ok
longa,grande,50000,Quick Sort,2,0.425270,890944,849274,1,ok
longa,grande,50000,Radix Sort,2,0.152186,49999,650000,1,ok
longa,grande,50000,Insertion Sort,3,189.023293,623543485,623493498,1,ok
longa,grande,50000,Selection Sort,3,225.241970,1249975000,49988,1,ok
longa,grande,50000,Shell Sort,3,0.531492,1799607,1366773,1,ok
longa,grande,50000,Merge Sort,3,0.305151,733257,768427,1,ok
longa,grande,50000,Quick Sort,3,0.408028,853995,812273,1,ok
longa,grande,50000,Radix Sort,3,0.162381,49999,650000,1,ok
crescente,super_grande,100000,Shell Sort,1,0.222258,967146,0,1,ok
crescente,super_grande,100000,Merge Sort,1,0.406786,877968,884976,1,ok
crescente,super_grande,100000,Quick Sort,1,0.916505,1829943,1756842,1,ok
crescente,super_grande,100000,Radix Sort,1,0.302638,99999,1300000,1,ok
crescente,super_grande,100000,Shell Sort,2,0.205009,967146,0,1,ok
crescente,super_grande,100000,Merge Sort,2,0.377534,877968,884976,1,ok
crescente,super_grande,100000,Quick Sort,2,0.907528,1811568,1738320,1,ok
crescente,super_grande,100000,Radix Sort,2,0.307539,99999,1300000,1,ok
crescente,super_grande,100000,Shell Sort,3,0.224180,967146,0,1,ok
crescente,super_grande,100000,Merge Sort,3,0.380183,877968,884976,1,ok
crescente,super_grande,100000,Quick Sort,3,0.868755,1838070,1764309,1,ok
crescente,super_grande,100000,Radix Sort,3,0.330720,99999,1300000,1,ok
decrescente,super_grande,100000,Shell Sort,1,0.390442,1521064,607224,1,ok
decrescente,super_grande,100000,Merge Sort,1,0.552685,826118,1689008,1,ok
decrescente,super_grande,100000,Quick Sort,1,0.918456,1847330,1776318,1,ok
decrescente,super_grande,100000,Radix Sort,1,0.329081,99999,1300000,1,ok
decrescente,super_grande,100000,Shell Sort,2,0.393678,1521126,607283,1,ok
decrescente,super_grande,100000,Merge Sort,2,0.552134,825968,1688799,1,ok
decrescente,super_grande,100000,Quick Sort,2,0.900247,1866746,1794996,1,ok
decrescente,super_grande,100000,Radix Sort,2,0.306835,99999,1300000,1,ok
decrescente,super_grande,100000,Shell Sort,3,0.414162,1521053,607213,1,ok
decrescente,super_grande,100000,Merge Sort,3,0.535841,826048,1688701,1,ok
decrescente,super_grande,100000,Quick Sort,3,0.899183,1858870,1787507,1,ok
decrescente,super_grande,100000,Radix Sort,3,0.332261,99999,1300000,1,ok
repetido,super_grande,100000,Shell Sort,1,0.239420,967146,0,1,ok
repetido,super_grande,100000,Merge Sort,1,0.404301,877968,884976,1,ok
repetido,super_grande,100000,Quick Sort,1,0.028416,100002,1,1,ok
repetido,super_grande,100000,Radix Sort,1,0.297749,99999,1300000,1,ok
repetido,super_grande,100000,Shell Sort,2,0.203884,967146,0,1,ok
repetido,super_grande,100000,Merge Sort,2,0.410550,877968,884976,1,ok
repetido,super_grande,100000,Quick Sort,2,0.039690,100002,1,1,ok
repetido,super_grande,100000,Radix Sort,2,0.344513,99999,1300000,1,ok
repetido,super_grande,100000,Shell Sort,3,0.229397,967146,0,1,ok
repetido,super_grande,100000,Merge Sort,3,0.387410,877968,884976,1,ok
repetido,super_grande,100000,Quick Sort,3,0.028782,100002,1,1,ok
repetido,super_grande,100000,Radix Sort,3,0.246190,99999,1100000,1,ok
muitos repetidos,super_grande,100000,Shell Sort,1,0.452898,1319935,384055,1,ok
muitos repetidos,super_grande,100000,Merge Sort,1,0.629530,1514684,1570990,1,ok
